"Platform","Domain","CapabilitySummary","IntegrationStatus","UtilityScore","ApplicabilityScore","IntegrationScore","ReliabilityScore","WorkflowValue","SourceRefs","Notes"
"OpenCode","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Test generation and execution","Test authoring help and validation loops. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Shell and filesystem control","Command execution and file operations. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Browser and UI control","UI/browser automation or preview capability. Integration profile for OpenCode: composed.","composed","3","2","4","3","61","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for OpenCode: native.","native","4","4","5","3","82","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for OpenCode: composed.","composed","4","4","4","3","76","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"Cursor","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Cursor: composed.","composed","5","4","4","4","85","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Cursor: composed.","composed","4","4","4","4","80","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Cursor: composed.","composed","4","4","4","4","80","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Cursor: native.","native","5","5","5","4","96","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Test generation and execution","Test authoring help and validation loops. Integration profile for Cursor: composed.","composed","5","4","4","4","85","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Shell and filesystem control","Command execution and file operations. Integration profile for Cursor: composed.","composed","4","4","4","4","80","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Browser and UI control","UI/browser automation or preview capability. Integration profile for Cursor: partial.","partial","2","1","2","3","39","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Cursor: composed.","composed","4","4","4","4","80","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Cursor: composed.","composed","5","5","4","4","90","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Cursor: composed.","composed","3","3","4","4","70","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Cursor: composed.","composed","4","4","4","4","80","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Cursor","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Cursor: composed.","composed","5","5","4","4","90","https://docs.cursor.com/welcome;https://docs.cursor.com/context/rules-for-ai;https://docs.cursor.com/background-agents/overview","Derived from official documentation capture on 2026-03-05."
"Windsurf","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Windsurf: native.","native","5","5","5","4","96","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Windsurf: composed.","composed","4","4","4","4","80","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Windsurf: composed.","composed","4","4","4","4","80","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Windsurf: native.","native","5","5","5","4","96","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Test generation and execution","Test authoring help and validation loops. Integration profile for Windsurf: composed.","composed","5","4","4","4","85","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Shell and filesystem control","Command execution and file operations. Integration profile for Windsurf: native.","native","5","5","5","4","96","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Browser and UI control","UI/browser automation or preview capability. Integration profile for Windsurf: composed.","composed","3","2","4","4","65","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Windsurf: composed.","composed","4","4","4","4","80","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Windsurf: composed.","composed","5","5","4","4","90","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Windsurf: composed.","composed","3","3","4","4","70","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Windsurf: composed.","composed","4","4","4","4","80","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Windsurf","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Windsurf: composed.","composed","5","5","4","4","90","https://docs.windsurf.com/windsurf/cascade/memories;https://docs.windsurf.com/windsurf/cascade/terminal;https://docs.windsurf.com/windsurf/workflows","Derived from official documentation capture on 2026-03-05."
"Aider","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Aider: partial.","partial","4","3","2","4","63","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Aider: partial.","partial","3","3","2","4","58","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Aider: composed.","composed","4","4","4","5","84","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Aider: native.","native","5","5","5","5","100","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Test generation and execution","Test authoring help and validation loops. Integration profile for Aider: native.","native","5","5","5","5","100","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Shell and filesystem control","Command execution and file operations. Integration profile for Aider: native.","native","5","5","5","5","100","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Browser and UI control","UI/browser automation or preview capability. Integration profile for Aider: external-only.","external-only","1","0","0","3","17","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Aider: partial.","partial","3","3","2","4","58","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Aider: composed.","composed","5","5","4","5","94","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Aider: composed.","composed","3","3","4","5","74","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Aider: partial.","partial","3","3","2","4","58","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Aider","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Aider: composed.","composed","5","5","4","5","94","https://aider.chat/docs/;https://aider.chat/docs/usage/commands.html;https://aider.chat/docs/usage/lint-test.html","Derived from official documentation capture on 2026-03-05."
"Continue","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Continue: composed.","composed","5","4","4","4","85","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Continue: composed.","composed","4","4","4","4","80","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Continue: composed.","composed","4","4","4","4","80","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Continue: native.","native","5","5","5","4","96","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Test generation and execution","Test authoring help and validation loops. Integration profile for Continue: composed.","composed","5","4","4","4","85","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Shell and filesystem control","Command execution and file operations. Integration profile for Continue: partial.","partial","3","3","2","3","54","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Browser and UI control","UI/browser automation or preview capability. Integration profile for Continue: external-only.","external-only","1","0","0","2","13","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Continue: composed.","composed","4","4","4","4","80","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Continue: composed.","composed","5","5","4","4","90","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Continue: composed.","composed","3","3","4","4","70","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Continue: partial.","partial","3","3","2","3","54","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Continue","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Continue: composed.","composed","5","5","4","4","90","https://docs.continue.dev/intro;https://docs.continue.dev/customize/context-providers;https://docs.continue.dev/customize/deep-dives/config-yaml","Derived from official documentation capture on 2026-03-05."
"Cline","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Cline: native.","native","5","5","5","4","96","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Cline: composed.","composed","4","4","4","4","80","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Cline: composed.","composed","4","4","4","4","80","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Cline: native.","native","5","5","5","4","96","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Test generation and execution","Test authoring help and validation loops. Integration profile for Cline: composed.","composed","5","4","4","4","85","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Shell and filesystem control","Command execution and file operations. Integration profile for Cline: native.","native","5","5","5","4","96","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Browser and UI control","UI/browser automation or preview capability. Integration profile for Cline: native.","native","4","3","5","4","81","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Cline: native.","native","5","5","5","4","96","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Cline: composed.","composed","5","5","4","4","90","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Cline: composed.","composed","3","3","4","4","70","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Cline: composed.","composed","4","4","4","4","80","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"Cline","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Cline: composed.","composed","5","5","4","4","90","https://docs.cline.bot/;https://docs.cline.bot/features/plan-and-act;https://docs.cline.bot/features/mcp-servers","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for GitHub Copilot: native.","native","5","5","5","5","100","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for GitHub Copilot: composed.","composed","4","4","4","5","84","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for GitHub Copilot: composed.","composed","4","4","4","5","84","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for GitHub Copilot: native.","native","5","5","5","5","100","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Test generation and execution","Test authoring help and validation loops. Integration profile for GitHub Copilot: composed.","composed","5","4","4","5","89","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Shell and filesystem control","Command execution and file operations. Integration profile for GitHub Copilot: partial.","partial","3","3","2","4","58","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Browser and UI control","UI/browser automation or preview capability. Integration profile for GitHub Copilot: partial.","partial","2","1","2","4","43","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for GitHub Copilot: composed.","composed","4","4","4","5","84","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for GitHub Copilot: native.","native","5","5","5","5","100","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for GitHub Copilot: composed.","composed","3","3","4","5","74","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
"GitHub Copilot","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for GitHub Copilot: native.","native","5","5","5","5","100","https://docs.github.com/en/copilot;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/coding-agent/extend-copilot-coding-agent-with-mcp;https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review/configure-automatic-code-review-by-copilot","Derived from official documentation capture on 2026-03-05."
